Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,setosa
2,4.9,3,1.4,0.2,setosa
3,4.7,3.2,1.3,0.2,setosa
4,4.6,3.1,1.5,0.2,setosa
5,5,3.6,1.4,0.2,setosa
6,5.4,3.9,1.7,0.4,setosa
7,4.6,3.4,1.4,0.3,setosa
8,5,3.4,1.5,0.2,setosa
9,4.4,2.9,1.4,0.2,setosa
10,4.9,3.1,1.5,0.1,setosa
11,5.4,3.7,1.5,0.2,setosa
12,4.8,3.4,1.6,0.2,setosa
13,4.8,3,1.4,0.1,setosa
14,4.3,3,1.1,0.1,setosa
15,5.8,4,1.2,0.2,setosa
16,5.7,4.4,1.5,0.4,setosa
17,5.4,3.9,1.3,0.4,setosa
18,5.1,3.5,1.4,0.3,setosa
19,5.7,3.8,1.7,0.3,setosa
20,5.1,3.8,1.5,0.3,setosa
21,5.4,3.4,1.7,0.2,setosa
22,5.1,3.7,1.5,0.4,setosa
23,4.6,3.6,1,0.2,setosa
24,5.1,3.3,1.7,0.5,setosa
25,4.8,3.4,1.9,0.2,setosa
26,5,3,1.6,0.2,setosa
27,5,3.4,1.6,0.4,setosa
28,5.2,3.5,1.5,0.2,setosa
29,5.2,3.4,1.4,0.2,setosa
30,4.7,3.2,1.6,0.2,setosa
31,4.8,3.1,1.6,0.2,setosa
32,5.4,3.4,1.5,0.4,setosa
33,7,3.2,4.7,1.4,versicolor
34,6.4,3.2,4.5,1.5,versicolor
35,6.9,3.1,4.9,1.5,versicolor
36,5.5,2.3,4,1.3,versicolor
37,6.5,2.8,4.6,1.5,versicolor
38,5.7,2.8,4.5,1.3,versicolor
39,6.3,3.3,4.7,1.6,versicolor
40,4.9,2.4,3.3,1,versicolor
41,6.6,2.9,4.6,1.3,versicolor
42,5.2,2.7,3.9,1.4,versicolor
43,5,2,3.5,1,versicolor
44,5.9,3,4.2,1.5,versicolor
45,6,2.2,4,1,versicolor
46,6.1,2.9,4.7,1.4,versicolor
47,5.6,2.9,3.6,1.3,versicolor
48,6.7,3.1,4.4,1.4,versicolor
49,5.6,3,4.5,1.5,versicolor
50,5.8,2.7,4.1,1,versicolor
51,6.2,2.2,4.5,1.5,versicolor
52,5.6,2.5,3.9,1.1,versicolor
53,5.9,3.2,4.8,1.8,versicolor
54,6.1,2.8,4,1.3,versicolor
55,6.3,2.5,4.9,1.5,versicolor
56,6.1,2.8,4.7,1.2,versicolor
57,6.4,2.9,4.3,1.3,versicolor
58,6.6,3,4.4,1.4,versicolor
59,6.8,2.8,4.8,1.4,versicolor
60,6.7,3,5,1.7,versicolor
61,6,2.9,4.5,1.5,versicolor
62,5.7,2.6,3.5,1,versicolor
63,5.5,2.4,3.8,1.1,versicolor
64,5.5,2.4,3.7,1,versicolor
65,5.8,2.7,3.9,1.2,versicolor
66,6,2.7,5.1,1.6,versicolor
67,6.3,3.3,6,2.5,virginica
68,5.8,2.7,5.1,1.9,virginica
69,7.1,3,5.9,2.1,virginica
70,6.3,2.9,5.6,1.8,virginica
71,6.5,3,5.8,2.2,virginica
72,7.6,3,6.6,2.1,virginica
73,4.9,2.5,4.5,1.7,virginica
74,7.3,2.9,6.3,1.8,virginica
75,6.7,2.5,5.8,1.8,virginica
76,7.2,3.6,6.1,2.5,virginica
77,6.5,3.2,5.1,2,virginica
78,6.4,2.7,5.3,1.9,virginica
79,6.8,3,5.5,2.1,virginica
80,5.7,2.5,5,2,virginica
81,5.8,2.8,5.1,2.4,virginica
82,6.4,3.2,5.3,2.3,virginica
83,6.5,3,5.5,1.8,virginica
84,7.7,3.8,6.7,2.2,virginica
85,7.7,2.6,6.9,2.3,virginica
86,6,2.2,5,1.5,virginica
87,6.9,3.2,5.7,2.3,virginica
88,5.6,2.8,4.9,2,virginica
89,7.7,2.8,6.7,2,virginica
90,6.3,2.7,4.9,1.8,virginica
91,6.7,3.3,5.7,2.1,virginica
92,7.2,3.2,6,1.8,virginica
93,6.2,2.8,4.8,1.8,virginica
94,6.1,3,4.9,1.8,virginica
95,6.4,2.8,5.6,2.1,virginica
96,7.2,3,5.8,1.6,virginica
97,7.4,2.8,6.1,1.9,virginica
98,7.9,3.8,6.4,2,virginica
99,6.4,2.8,5.6,2.2,virginica
100,6.3,2.8,5.1,1.5,virginica
